download_url,label,mime,page_url,path,side,status,usage_note
,USD_1,,"https://commons.wikimedia.org/wiki/File:United_States_one_dollar_bill,_obverse.jpg",,front,failed: 429 Client Error: Too Many Requests (015d12c) for url: https://upload.wikimedia.org/wikipedia/commons/7/7b/United_States_one_dollar_bill%2C_obverse.jpg,
,USD_1,,"https://commons.wikimedia.org/wiki/File:United_States_one_dollar_bill,_reverse.jpg",,back,failed: 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/1/1d/United_States_one_dollar_bill%2C_reverse.jpg,
,USD_5,,https://commons.wikimedia.org/wiki/File:US_$5_Series_2006_obverse.jpg,,front,failed: 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/f/f9/US_%245_Series_2006_obverse.jpg,
,USD_5,,https://commons.wikimedia.org/wiki/File:US_$5_Series_2006_reverse.jpg,,back,failed: 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/c/cf/US_%245_Series_2006_reverse.jpg,
,USD_5,,https://commons.wikimedia.org/wiki/File:Obverse_of_the_series_2021_$5_Federal_Reserve_Note.jpg,,front,failed: 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/d/d5/Obverse_of_the_series_2021_%245_Federal_Reserve_Note.jpg,
,USD_5,,https://commons.wikimedia.org/wiki/File:Reverse_of_the_series_2021_$5_Federal_Reserve_Note.jpg,,back,failed: 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/0/0e/Reverse_of_the_series_2021_%245_Federal_Reserve_Note.jpg,
,USD_10,,https://commons.wikimedia.org/wiki/File:US10dollarbill-Series_2004A.jpg,,front,failed: 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/4/49/US10dollarbill-Series_2004A.jpg,
,USD_10,,https://commons.wikimedia.org/wiki/File:US_$10_Series_2004_reverse.jpg,,back,failed: 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/3/30/US_%2410_Series_2004_reverse.jpg,
,USD_10,,https://commons.wikimedia.org/wiki/File:Obverse_of_the_series_2021_$10_Federal_Reserve_Note.jpg,,front,failed: 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/8/86/Obverse_of_the_series_2021_%2410_Federal_Reserve_Note.jpg,
,USD_10,,https://commons.wikimedia.org/wiki/File:Reverse_of_the_series_2021_$10_Federal_Reserve_Note.jpg,,back,failed: 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/9/9e/Reverse_of_the_series_2021_%2410_Federal_Reserve_Note.jpg,
,USD_20,,https://commons.wikimedia.org/wiki/File:US_$20_Series_2006_Obverse.jpg,,front,failed: 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/7/79/US_%2420_Series_2006_Obverse.jpg,
,USD_20,,https://commons.wikimedia.org/wiki/File:US_$20_Series_2006_Reverse.jpg,,back,failed: 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/c/c9/US_%2420_Series_2006_Reverse.jpg,
,USD_20,,https://commons.wikimedia.org/wiki/File:Obverse_of_the_series_2017A_$20_Federal_Reserve_Note.jpg,,front,failed: 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/6/69/Obverse_of_the_series_2017A_%2420_Federal_Reserve_Note.jpg,
,USD_20,,https://commons.wikimedia.org/wiki/File:Reverse_of_the_series_2017A_$20_Federal_Reserve_Note.jpg,,back,failed: 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/9/9a/Reverse_of_the_series_2017A_%2420_Federal_Reserve_Note.jpg,
,USD_50,,https://commons.wikimedia.org/wiki/File:$50_Dollar_Bill_Series_1969C_Front.jpg,,front,failed: 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/2/2e/%2450_Dollar_Bill_Series_1969C_Front.jpg,
,USD_50,,https://commons.wikimedia.org/wiki/File:$50_Dollar_Bill_Series_1969C_Back.jpg,,back,failed: 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/8/8a/%2450_Dollar_Bill_Series_1969C_Back.jpg,
,USD_50,,https://commons.wikimedia.org/wiki/File:50_USD_Series_2004_Note_Front.jpg,,front,failed: 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/0/09/50_USD_Series_2004_Note_Front.jpg,
,USD_50,,https://commons.wikimedia.org/wiki/File:50_USD_Series_2004_Note_Back.jpg,,back,failed: 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/d/d5/50_USD_Series_2004_Note_Back.jpg,
https://upload.wikimedia.org/wikipedia/commons/0/05/Obverse_of_the_%2450_Federal_Reserve_Note.jpg,USD_50,image/jpeg,https://commons.wikimedia.org/wiki/File:Obverse_of_the_$50_Federal_Reserve_Note.jpg,data\reference\usd_wikimedia\USD_50\19_front_File_Obverse_of_the__50_Federal_Reserve_Note.jpg.jpg,front,downloaded 946419 bytes,USD currency images have reproduction restrictions; do not publish raw high-resolution two-sided datasets.
,USD_100,,"https://commons.wikimedia.org/wiki/File:U.S._hundred_dollar_bill,_1999.jpg",,front,failed: 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/6/6b/U.S._hundred_dollar_bill%2C_1999.jpg,
,USD_100,,https://commons.wikimedia.org/wiki/File:POSTERIOR-100DOLLARSNOTES-SERIE1996.jpg,,back,failed: 429 Client Error: Too Many Requests for url: https://commons.wikimedia.org/w/api.php?action=query&format=json&prop=imageinfo&iiprop=url%7Cmime%7Csize%7Cextmetadata&titles=File:POSTERIOR-100DOLLARSNOTES-SERIE1996.jpg,
,USD_100,,https://commons.wikimedia.org/wiki/File:Usdollar100front.jpg,,front,failed: 429 Client Error: Too Many Requests for url: https://commons.wikimedia.org/w/api.php?action=query&format=json&prop=imageinfo&iiprop=url%7Cmime%7Csize%7Cextmetadata&titles=File:Usdollar100front.jpg,
,USD_100,,https://commons.wikimedia.org/wiki/File:USA_100_Dollar_Bill_Series2009_Reverse.png,,back,failed: 429 Client Error: Too Many Requests for url: https://commons.wikimedia.org/w/api.php?action=query&format=json&prop=imageinfo&iiprop=url%7Cmime%7Csize%7Cextmetadata&titles=File:USA_100_Dollar_Bill_Series2009_Reverse.png,
,USD_100,,https://commons.wikimedia.org/wiki/File:Small-head_$100s_front.jpg,,front,failed: 429 Client Error: Too Many Requests for url: https://commons.wikimedia.org/w/api.php?action=query&format=json&prop=imageinfo&iiprop=url%7Cmime%7Csize%7Cextmetadata&titles=File:Small-head_$100s_front.jpg,
,USD_100,,https://commons.wikimedia.org/wiki/File:Small-head_$100s_back.jpg,,back,failed: 429 Client Error: Too Many Requests for url: https://commons.wikimedia.org/w/api.php?action=query&format=json&prop=imageinfo&iiprop=url%7Cmime%7Csize%7Cextmetadata&titles=File:Small-head_$100s_back.jpg,
